,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
850,4906,正文,"23,379,925","9,126","825,009,816",35.10,35.85,34.45,35.75,+,1.0,35.75,268,35.80,344,9.33
851,4912,聯德控股-KY,"968,123",648,"193,784,361",202.50,204.00,197.50,198.50,-,3.0,198.50,6,199.00,2,22.01
852,4915,致伸,"3,293,725","2,190","206,077,456",64.00,64.00,62.00,62.10,-,1.0,62.10,19,62.20,3,14.58
853,4916,事欣科,"603,014",376,"14,870,870",25.35,25.35,24.25,24.50,-,0.45,24.50,13,24.55,1,0.00
854,4919,新唐,"34,831,761","18,364","2,162,846,840",64.80,65.90,59.00,60.70,-,3.3,60.60,247,60.70,50,42.75
855,4927,泰鼎-KY,"2,021,417","1,265","135,151,874",66.90,67.40,66.40,66.50,-,0.2,66.50,10,66.60,5,10.54
856,4930,燦星網,"2,909,161","1,583","102,805,982",35.80,36.30,34.65,35.45,+,0.05,35.45,29,35.55,1,15.90
857,4934,太極,"4,424,652","2,548","129,264,561",29.70,30.35,28.60,28.80,-,0.7,28.75,19,28.80,12,"2,880.00"
858,4935,茂林-KY,"4,732,558","3,398","518,977,558",111.00,113.00,107.00,107.50,-,2.0,107.50,26,108.00,30,10.39
859,4938,和碩,"12,894,226","7,475","946,770,270",73.80,74.00,73.20,73.30,-,0.3,73.30,157,73.40,80,9.66
860,4942,嘉彰,"2,334,239","1,223","108,019,578",46.80,46.90,45.55,46.50,-,0.1,46.45,1,46.50,7,9.77
861,4943,康控-KY,"734,646",504,"57,286,193",78.70,79.10,77.30,77.50,-,0.4,77.50,22,77.60,3,0.00
862,4952,凌通,"2,707,583","1,879","154,044,378",58.70,58.90,56.00,56.50,-,1.5,56.50,11,56.60,13,21.81
863,4956,光鋐,"6,779,313","3,000","186,568,297",27.35,28.20,26.95,27.30,+,0.25,27.30,24,27.35,12,170.62
864,4958,臻鼎-KY,"17,941,629","9,882","2,040,392,304",115.50,116.00,113.00,113.00,-,2.5,113.00,"1,715",113.50,77,13.19
865,4960,誠美材,"55,672,300","12,624","803,473,799",14.00,14.80,14.00,14.65,+,0.65,14.65,512,14.70,"2,108",0.00
866,4961,天鈺,"29,615,722","23,632","11,224,642,716",378.00,395.00,353.50,366.50,-,4.5,366.00,66,366.50,27,91.62
867,4967,十銓,"6,444,389","3,799","342,095,392",53.20,54.20,51.90,53.50,+,0.7,53.40,28,53.50,56,27.44
868,4968,立積,"5,576,331","5,786","3,485,705,715",649.00,652.00,612.00,618.00,-,31.0,617.00,11,618.00,7,45.08
